1021000509,1,,0,,6,935,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,30000,,,,1,23,,,1
1021000510,1,,1,,1,621,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,0,,,,1,23,,1.6,1
1021000515,0,,0,,1,516,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,168000,,,,1,35,,,1
1021000601,1,,1,,1,342,Central,kampala,urban,0,0.225,6,0,,0,0,,0,0,,0,0,,,,1,37,,1.05,1
1021000603,1,,1,,0,621,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,0,,,,0,29,,,1
1021000604,1,,1,,1,935,Central,kampala,urban,0,1,7,0,,0,0,,0,0,,0,0,,,,1,38,,0.125,1
1021000606,1,,5,,0,621,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,2450000,,,,1,49,,,1
1021000607,0,,2,,2,113,Central,kampala,urban,0,,13,0,,0,0,,0,0,,0,1740000,,,,1,42,,,1
1021000608,1,,0,,3,523,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,120000,,,,1,20,,,1
1021000609,0,,2,,1,723,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,0,,,,0,23,,0.5,1
1021000610,1,,2,,1,712,Central,kampala,urban,0,,8,0,,0,0,,0,0,,0,0,,,,0,50,,1.26,1
1021000611,1,,0,,1,621,Central,kampala,urban,0,,2,0,,0,0,,0,0,,0,156000,,,,0,20,,,1
1021000612,1,,1,,6,621,Central,kampala,urban,0,,9,0,,0,0,,0,0,,0,4650000,,,,0,42,,1.783333,1
1021000701,1,,1,,2,516,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,0,,,,0,26,,,1
1021000702,1,,2,,0,621,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,160000,,,,1,38,,,1
1021000703,0,,5,,3,411,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,0,,,,1,38,,15,1
1021000705,0,,5,,0,941,Central,kampala,urban,0,,7,0,,0,0,,0,0,,0,62000,,,,0,65,,,1
1021000706,1,,1,,1,741,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,1550000,,,,0,42,,0.9,1
1021000707,0,,0,,5,341,Central,kampala,urban,0,,2,0,,0,0,,0,0,,0,116000,,,,1,25,,,1
1021000709,1,,1,,2,935,Central,kampala,urban,0,,9,0,,0,0,,0,0,,0,0,,,,0,36,,0.7,1
1021000710,0,,2,,1,621,Central,kampala,urban,25,0.75,15,66000,60000,126000,438.5965,663.1579,544.0948,73,132,205,366000,27,26.28,53.28,1,50,50,0.3,1
1021000711,1,,1,,5,342,Central,kampala,urban,0,,5,0,,0,0,,0,0,,0,0,,,,1,31,,2.5,1
1021000802,1,,0,,5,621,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,84000,,,,0,23,,,1
1021000803,1,,0,,7,131,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,60000,,,,0,26,,,1
1021000804,0,,1,,3,621,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,82000,,,,0,23,,,1
1021000805,0,,3,,1,542,Central,kampala,urban,4.25,0.025,5,77500,2500,80000,1314.681,937.3961,1112.175,62,16.5,78.5,95000,34.5,54.1,88.60001,1,75,0,,1
1021000807,1,,1,,2,621,Central,kampala,urban,8,9.25,4,728000,349500,1077500,2461.634,8712.95,5518.502,950,201.5,1151.5,3737500,11,37.335,48.335,0,33,36,1,0
1021000808,1,,0,,3,713,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,2256000,,,,0,32,,2.6,1
1021000809,1,,0,,5,832,Central,kampala,urban,0,,7,0,,0,0,,0,0,,0,1272000,,,,1,24,,3.5,1
1021000810,0,,1,,6,621,Central,kampala,urban,0,,3,0,,0,0,,0,0,,0,60000,,,,1,50,,,1
1021000811,1,,1,,2,915,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,86000,,,,0,28,,0.95,1
1021000812,0,,2,,2,316,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,0,,,,1,33,,6.5,1
1021000901,0,,0,,3,915,Central,kampala,urban,0,,1,0,,0,0,,0,0,,0,0,,,,0,27,,,1
1021000902,1,,1,,2,621,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,3310000,,,,0,32,,0.6333333,1
1021000903,0,,2,,1,621,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,0,,,,0,28,,2,1
1021000904,1,,2,,1,932,Central,kampala,urban,0,,6,0,,0,0,,0,0,,0,0,,,,0,50,,0.5,1
1021000906,1,,5,,2,751,Central,kampala,urban,0,,4,0,,0,0,,0,0,,0,0,,,,1,45,,0.3,1
